county_code,date,aqi,defining_parameter,defining_site,num_sites_reporting,state_name,county_name,state_code,category,created,last_updated,Derived_County_fips
013,2023-09-10,157,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-10 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-11,166,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-11 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-12,157,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-12 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-13,139,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-13 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-14,148,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-14 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-15,121,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-15 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-16,152,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-16 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-17,153,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-17 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-18,169,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-18 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-19,145,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-19 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-20,122,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-20 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-21,147,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-21 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-22,124,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-22 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-23,108,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-23 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-24,122,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-24 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-26,162,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-26 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-27,152,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-27 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-28,168,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-28 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-29,77,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-29 16:30:00,2023-12-31 23:42:00,09013
013,2023-09-30,30,Ozone,09-013-1001,1,Connecticut,Tolland,09,Good,2023-09-30 16:30:00,2023-12-31 23:42:00,09013
015,2022-11-01,157,Ozone,09-015-9991,1,Connecticut,Windham,09,Good,2022-11-01 16:30:00,2022-12-31 23:54:00,09015
